,name,measure,energy,protein,sugar,fat,fiber,VC,Happiness,,Decision,energy,protein,sugar,fat,fiber,VC,Happiness,,,,,energy,protein,sugar,fat,fiber,VC
,,,[kcal],[g],[g],[g],[g],[mg],[-],,,[kcal],[g],[g],[g],[g],[mg],[-],,,,,[kcal],[g],[g],[g],[g],[mg]
1,apples,1.0 cup slices,68.00,0.39,14.29,0.35,1.80,2.30,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,lower bound,2000,50,NA,NA,25,60
2,asparagus,0.5 cup,19.00,2.18,0.59,0.21,1.50,13.50,2,,19.16,363.98,41.76,11.21,4.02,28.74,258.62,38.31,,,,upper bound,2500,70,NA,65,NA,NA
3,beans,0.333 package (10 oz),160.00,9.21,0.00,0.47,5.40,0.90,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
4,beef,1.0 oz,159.00,2.72,0.00,16.37,0.00,0.00,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
5,blueberries,1.0 cup,341.00,1.79,61.50,1.08,15.60,1.00,4,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
6,bread,1.0 muffin,168.00,3.36,8.19,4.89,1.20,0.10,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
7,broccoli,1.0 cup,46.50,5.04,2.41,0.34,5.10,80.90,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
8,butter,"1.0 pat (1"" sq, 1/3"" high)",36.00,0.04,0.00,4.06,0.00,0.00,3,,11.26,405.52,0.45,0.00,45.73,0.00,0.00,33.79,,,,,,,,,,
9,cabbage,"1.0 cup, shredded",17.33,2.07,1.30,0.23,1.13,36.30,1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
10,cake,1.0 oz,94.80,1.15,6.06,2.80,0.10,0.80,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
11,carrots,0.5 cup slices,25.50,0.62,3.04,0.23,2.15,2.05,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
12,cereals,0.25 cup (1 NLEA serving),166.00,2.83,0.14,0.23,0.30,0.00,3,,8.85,1469.68,25.06,1.24,2.04,2.66,0.00,26.56,,,,,,,,,,
13,cheese,0.5 cup,193.50,14.04,0.36,12.96,0.00,0.00,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
14,chicken,1.0 cup,335.00,40.59,0.00,16.27,0.00,0.00,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
15,chocolate,1.0 oz,164.00,1.74,10.41,10.86,2.30,0.00,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
16,cookies,1.0 cookie,63.00,0.66,4.24,3.19,0.30,0.00,5,,4.14,260.82,2.73,17.55,13.21,1.24,0.00,20.70,,,,,,,,,,
17,cream,1.0 cup,154.00,1.92,4.80,13.33,0.00,0.00,4,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
18,egg,1.0 large,62.75,5.60,0.19,4.10,0.00,0.00,4,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
19,fast foods,1.0 biscuit,413.67,15.51,1.10,27.20,0.53,0.97,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
20,fish,0.5 fillet,273.00,43.32,0.00,9.81,0.00,4.20,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
21,ham,1.94 oz (1 serving),67.00,9.86,0.00,1.30,0.00,0.30,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
22,ice creams,1.0 serving 1/2 cup,123.75,3.20,13.37,4.49,0.30,0.58,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
23,kale,0.333 package (10 oz),26.00,2.50,0.00,0.43,1.90,36.90,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
24,lamb,1.0 oz,59.94,5.20,0.00,4.19,0.00,0.00,4,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
25,luncheon meat,2.0 oz 1 NLEA serving,164.00,7.00,0.00,14.06,0.00,24.10,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
26,mcdonald's,1.0 item,524.00,27.78,12.35,19.96,3.20,5.80,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
27,orange juice,1.0 cup,207.33,3.22,39.71,0.42,1.33,182.27,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
28,pasta,1.0 cup spaghetti,332.00,12.12,2.45,1.80,4.73,0.00,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
29,pork,"1.0 cup, diced",339.50,35.57,0.00,20.81,0.00,0.60,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
30,rice,1.0 cup,374.00,7.29,0.10,0.68,1.00,0.00,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
31,turkey,"1.0 cup, chopped or diced",342.00,37.23,0.00,20.13,0.00,0.00,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
32,wheat flour,1.0 cup,468.33,14.08,0.25,1.58,3.37,0.00,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
,,,,,,,,,,,,energy,protein,sugar,fat,fiber,VC,Happiness,,,,,,,,,,
,,,,,,,,,,,curr,2500.00,70.00,30.00,65.00,32.63,258.62,119.37,,,,,,,,,,
,,,,,,,,,,,min,2000.00,50.00,,,25.00,60.00,,,,,,,,,,,
,,,,,,,,,,,max,2500.00,70.00,,65.00,,,,,,,,,,,,,
